X,Y
-281.945,2.945
-3.7281,93.7281
-261.2016,126.2016
293.6206,-45.6206
-84.1534,-249.3466
238.68,75.82
55.25,208.25
-278.46,-54.54
221,89
-319.7836,-5.7164
137.8377,166.6623
209.525,-14.025
-340,-155
344.25,-60.75
-211.1655,-173.8345
-307.36,164.86
261.29,57.71
-386.75,71.75
227.97,-66.47
-284.58,-29.92
-315.52,-89.48
22.44,122.06
-65.9107,56.9107
215.1877,-125.1877
56.525,199.975
-298.5897,37.5897
138.3171,-14.8171
102,68
276.165,-76.665
201.875,-145.875
254.4526,-111.9526
3.0345,-76.5345
135.8487,74.1513
104.2797,-9.7797
-314.9879,34.9879
-347.9118,-125.0882
322.7008,-144.2008
-358.4671,116.9671
333.7457,35.2543
207.4,2.6
-301.7619,106.2619
211.0278,64.4722
-367.2,148.7
287.5873,-228.0873
-6.0588,276.0588
84.5733,-205.5733
-238,-26
253.0076,-40.5076
-257.04,47.04
263.755,-148.255
269.3752,99.6248
-342.9937,63.9937
345.3907,-166.8907
-329.868,19.868
304.9137,-48.4137
81.107,-52.607
-311.8599,218.3599
285.5082,-165.5082
235.0777,-16.5777
-254.4526,23.4526
224.825,21.675
-323.68,-41.82
261.29,-36.29
-307.5198,117.5198
212.415,305.085
188.8904,-52.8904
321.3,-185.3
-316.2595,221.7595
341.955,-285.955
162.554,87.446
-345.6117,75.6117
220.915,-49.915
139.23,-104.73
-262.6007,135.1007
373.6192,-269.6192
-244.7388,26.2388
248.268,-78.268
100.5771,16.4229
61.625,208.375
138.4344,-22.9344
250.665,-25.665
146.625,-137.625
-165.7704,89.2704
145.0491,-82.0491
390.2095,-38.7095
133.62,-16.62
257.907,-16.407
-243.3431,-229.6569
160.225,219.275
-222.87,4.37
223.9274,227.0726
-287.4054,-122.0946
344.1582,-174.1582
-361.046,257.046
172.805,-115.305
322.4016,11.0984
93.16,-5.16
-279.8421,-71.6579
379.44,-116.94
-176.868,34.368
257.6061,75.3939
-223.125,-248.375
215.05,68.45
167.79,62.21
-378.165,-116.835
321.3,-89.3
-399.585,14.585
277.95,101.55
66.7998,128.7002
258.621,-154.121
-221.34,42.84
374.17,-42.67
266.6433,-67.1433
-314.16,104.16
324.9839,-60.4839
-238.8296,-170.6704
314.5,-66.5
-260.61,50.61
268.4572,134.0428
-165.7313,-213.7687
175.5216,-185.0216
183.6,-48.6
-239.8122,10.3122
295.375,74.625
104.9172,113.5828
-338.6179,-53.3821
254.15,-41.65
-244.8663,-16.1337
260.78,169.72
-274.7999,-141.7001
172.2236,84.2764
-113.135,-129.865
250.665,61.335
-301.7313,-238.7687
237.0735,25.4265
-334.1826,-35.8174
312.1676,-48.1676
-297.7737,-81.7263
82.0386,98.4614
204.1496,-20.1496
-275.3405,85.3405
219.2099,5.7901
359.1216,-239.1216
202.2031,-98.2031
-320.6982,89.6982
231.1966,-10.6966
-333.1167,-56.3833
362.95,61.05
-374.17,60.67
354.7764,-234.7764
142.545,-22.545
-229.33,125.83
263.5,-10.5
48.3259,-22.8259
130.39,-118.89
265.88,-58.88
164.4852,352.5148
-329.375,65.375
119.5746,328.9254
-234.6,-304.4
159.12,170.88
-341.955,77.455
84.5733,68.4267
26.52,-89.52
285.0696,-135.5696
-208.8875,78.8875
387.09,-72.59
-339.6549,7.1549
219.6978,250.3022
-321.5652,-108.9348
-284.3148,59.3148
280.8774,-145.8774
-4.1616,-24.3384
156.9457,38.5543
213.9008,-18.4008
240.465,-184.465
-161.7822,-189.2178
120.445,127.555
172.2236,-95.7236
-264.3534,-40.1466
230.571,-65.571
221.85,75.15
74.4345,141.5655
-304.4904,-28.5096
243.0252,-56.0252
130.8405,173.6595
-335.257,-205.243
204.9707,24.5293
-265.8426,-9.6574
364.82,-180.82
-348.1515,98.1515
251.43,-140.93
181.05,137.95
128.8056,6.1944
175.6287,77.3713
27.285,270.215
217.6272,-67.6272
-187,-146
232.8456,-45.8456
-225.25,16.25
217.6,69.9
154.4076,275.5924
-373.1228,59.6228
259.25,-72.25
-378.2738,-162.2262
223.0281,-73.0281
108.8,166.7
-250.5256,-159.4744
281.52,-11.52
-187.4046,218.9046
229.5,-30
-279.8421,-150.6579
123.165,-29.665
16.4016,-142.9016
178.6309,-74.6309
-163.115,-100.885
352.495,186.505
-335.07,30.57
164.56,-21.56
-360.5173,-9.9827
233.835,53.665
-408,129
260.0235,-166.5235
144.755,-8.755
186.4577,-5.9577
139.5632,30.4368
188.6269,-1.6269
102.1734,-92.1734
218.28,-9.28
184.4228,-175.4228
-191.9181,-164.5819
162.8515,101.1485
-204.1666,-244.3334
274.89,135.11
-374.085,33.085
-306,-19.5
188.7459,-68.7459
116.28,64.22
-226.4859,132.9859
184.96,-74.96
-226.1,-223.9
392.9006,-95.9006
-87.975,-42.025
262.0125,16.9875
106.743,155.757
-239.0829,1.5829
247.2327,-9.7327
-217.2345,177.2345
212.5,-118
-254.15,-40.35
261.8,-5.3
49.8015,16.6985
199.41,-125.91
180.88,115.12
102.4131,118.0869
103.1373,-73.1373
263.67,-47.67
-319.005,62.505
168.1266,-16.1266
298.7036,-137.2036
213.1766,120.3234
-285.6,44.1
212.67,70.83
-327.6699,-281.8301
-194.48,42.48
347.48,-253.98
169.507,14.493
-246.84,-293.66
201.3429,249.6571
-341.3991,-128.6009
262.0482,-163.0482
52.275,128.225
-329.375,81.375
-3.4969,75.4969
-224.9236,59.9236
237.3098,72.6902
-90.5046,-213.9954
245.565,179.935
55.25,285.75
-287.98,-26.52
255,101.5
-363.6249,53.6249
133.9821,156.0179
184.96,-40.46
-353.6,-51.4
344.25,-60.75
-257.4208,-145.0792
-334.56,169.56
313.055,-52.055
-386.75,19.25
197.37,-16.87
-281.945,-125.055
-312.8,-204.7
23.29,172.21
-58.6942,50.1942
221.221,-135.721
45.475,184.025
-239.8122,7.8122
149.532,-26.032
105.4,90.1
231.9786,-51.4786
180.88,-103.88
206.9801,-56.9801
3.5547,-84.0547
146.2986,53.2014
90.321,-4.821
-258.3354,-109.1646
-363.0384,-45.4616
254.6311,-44.6311
-342.9937,164.4937
282.5876,45.4124
249.9,-81.9
-339.1704,132.1704
271.0259,-10.0259
-293.76,75.26
291.6095,-214.6095
-7.6857,223.6857
120.7017,-236.2017
-269.875,-43.625
307.5351,-20.0351
-250.155,8.655
330.31,-225.81
239.1866,232.3134
-368.7827,89.7827
325.2219,-125.7219
-302.379,-23.121
304.9137,5.5863
79.8592,-48.3592
-357.6375,269.6375
266.8881,-109.3881
179.1851,16.3149
-271.5427,82.5427
277.61,41.39
-397.12,-54.38
293.335,-5.835
-294.4893,123.4893
226.695,178.305
208.335,-12.835
344.25,-165.75
-270.4564,198.4564
300.645,-241.145
124.2377,163.2623
-338.5584,68.5584
240.465,-78.965
163.54,-129.04
-329.9938,179.9938
329.8357,-206.3357
-290.0608,81.0608
242.0613,-46.5613
130.4784,6.0216
45.9,170.1
153.0765,-54.0765
217.243,-17.243
169.575,-160.075
-148.7058,54.2058
138.9546,-61.9546
387.5184,-54.5184
120.36,29.14
200.3739,20.1261
-217.1988,-169.8012
135.915,161.085
-236.555,56.055
212.2297,238.7703
-375.6439,44.1439
366.6033,-179.6033
-363.6249,246.6249
242.25,-189.75
288.8181,1.1819
81.6,44.9
-302.532,-122.968
374.17,-136.67
-156.2334,-8.7666
216.1125,116.8875
-214.625,-133.875
226.78,43.22
145.18,107.82
-373.1228,-144.3772
247.86,42.14
-394.2572,9.2572
354.45,8.55
67.3659,116.6341
256.2699,-157.2699
-224.91,14.91
266.135,143.365
270.2711,-108.7711
-280.5,91.5
222.4722,42.0278
-244.0979,-184.9021
276.25,-12.75
-325.7625,94.7625
232.1792,82.8208
-129.5944,-150.9056
180.3972,-190.3972
227.97,-107.97
-289.1853,32.6853
252.875,98.625
96.4104,145.0896
-333.7457,-107.2543
250.24,-0.24
-215.4087,-45.5913
274.04,156.46
-292.4476,-222.0524
200.0016,29.4984
-128.095,-141.905
237.2962,152.7038
-371.3616,-98.6384
226.5369,60.9631
-314.2314,-18.7686
344.4608,-80.4608
-286.5792,22.5792
65.11,96.39
198.1452,54.8548
-222.1713,13.1713
245.3542,-20.3542
349.146,-214.146
225.5985,-76.0985
-295.1353,53.6353
311.8973,-133.3973
-240.2066,-149.2934
342.125,134.875
-345.185,-1.315
340.4709,-197.9709
123.76,11.24
-240.635,137.135
240.125,-44.625
48.6948,-23.1948
145.86,-137.36
250.24,-66.24
157.0086,265.9914
-371.535,41.535
129.0147,319.4853
-275.655,-238.845
184.96,161.54
-323.595,59.095
115.7751,45.7249
26.775,-93.275
255.7242,-112.7242
-178.8077,68.3077
322.575,65.925
-330.0193,50.0193
297.2382,196.2618
-362.9789,-67.5211
-219.6978,-17.8022
268.3008,-118.3008
-3.5258,-21.9742
168.0569,27.4431
190.5054,62.4946
285.43,-208.43
-190.332,-160.668
134.81,159.69
162.5013,-81.5013
-309.2436,77.2436
245.2437,-117.7437
211.14,72.36
73.0167,142.9833
-300.0126,-69.9874
268.8006,-81.8006
135.8249,125.1751
-368.7827,-7.2173
233.9931,63.0069
-255.9231,23.9231
357.425,-115.925
-361.046,123.546
298.265,-168.265
133.875,127.125
135.0888,22.4112
210.154,54.346
31.62,283.38
248.7168,-91.2168
-235.62,-97.38
228.3678,-41.3678
-231.625,13.125
238,-25.5
193.0095,279.9905
-307.5742,-5.9258
278.375,-116.875
-359.6265,-86.8735
183.2634,-40.7634
106.25,212.75
-286.6591,-123.3409
234.6,35.4
-189.0485,223.5485
309.825,-89.325
-252.11,-178.39
121.5228,-22.5228
16.8572,-115.8572
189.1386,-46.1386
-213.18,-67.32
278.545,235.955
-323.595,48.095
171.36,-67.36
-335.3063,23.3063
207.3337,5.1663
-310.08,-30.92
227.2798,-100.7798
127.075,42.925
170.8109,38.1891
148.2859,30.2141
182.3913,13.1087
120.4875,-111.4875
259.08,-88.08
185.6689,-176.6689
-163.3683,-100.1317
201.0862,178.4138
-244.6147,-86.8853
259.93,150.07
-326.7009,16.7009
-349.35,70.35
209.3652,-36.8652
140.76,68.24
-245.5038,152.0038
187.68,-66.68
-255,-262.5
357.9163,-44.4163
-80.325,-69.175
217.9944,30.0056
90.321,109.679
-310.1616,72.6616
255.8772,6.6228
-233.7857,191.2857
170,-98
-250.24,-59.76
244.97,-28.97
42.0546,24.4454
226.78,-160.28
165.92,204.08
82.5656,158.9344
133.0182,-106.0182
271.15,-1.15
-243.27,13.77
174.471,-22.471
305.9303,-118.9303
271.4985,62.0015
-323.85,70.85
226.44,43.56
-267.2485,-209.7515
-271.15,71.65
323.68,-224.68
195.585,-11.585
-238.68,-278.32
237.6209,90.3791
-344.0052,-55.4948
210.7779,-134.2779
