X,Y
50.15,101.32
-308.295,-32.364
-3.8148,106.55184
-188.6456,-14.08352
211.1655,25.6014
-96.0619,-198.65048
319.005,-68.306
53.975,183.23
-290.36,-63.712
197.2,88.86
-324.9414,-81.04688
108.9207,101.29516
164.73,-53.176
-337.28,-157.676
277.695,-22.734
-243.3431,-155.32552
-345.44,126.352
359.89,-170.868
-446.25,59.5
212.67,-84.204
-368.9,-56.38
-399.84,-85.128
25.5,113.9
-61.5808,38.76464
221.221,-166.4652
54.825,150.21
-268.0254,-75.57968
130.8405,-14.0086
109.65,55.42
196.9977,-55.89724
232.56,-212.572
235.4636,-110.05632
3.6125,-70.835
131.2043,31.55484
117.4173,-55.40076
-299.1252,-163.19984
-302.532,-187.9744
257.1522,-140.58264
-270.7845,6.6276
289.8959,41.62492
198.9,-18.18
-274.329,0.9632
291.7149,-60.05788
-340,88
301.665,-291.998
-6.2271,288.48168
103.4586,-217.65032
-316.625,-43.7
303.1729,-151.30748
-250.155,32.124
327.845,-299.914
236.8644,166.76272
-342.9937,-51.10504
327.743,-204.2916
-362.8548,-19.71616
377.8845,-223.9614
75.4919,-66.59028
-300.4155,119.3324
246.1991,-145.43892
210.4192,-11.00304
-197.4856,-10.01152
291.295,-103.054
-342.72,-220.324
340.17,-120.704
-341.3991,102.11928
262.395,202.626
166.668,-64.0016
305.235,-179.282
-246.4643,102.67144
325.89,-317.568
133.5265,77.2682
-352.665,-1.368
224.825,-79.79
142.545,-144.054
-309.0787,127.26296
306.4845,-263.7814
-294.593,64.6744
279.3015,-190.6618
105.1076,-15.62912
48.45,252.36
173.043,-81.1516
237.2962,-22.25544
179.775,-205.23
-149.9247,47.93976
153.5814,-114.29768
274.4922,40.60936
149.94,-75.928
279.7299,-125.67588
-279.5429,-227.86568
128.18,110.184
-261.97,29.076
187.1632,185.40416
-365.5595,-78.0524
266.8473,-175.71676
-314.6258,108.70064
235.79,-232.948
246.279,-20.0348
73.44,38.372
-373.1228,-90.00176
281.945,-125.834
-193.0809,-18.03528
250.6905,87.6714
-306,-226.7
220.915,-49.098
167.79,63.152
-322.7008,-101.83936
247.86,-65.432
-324.9958,-125.00336
331.5,-117.3
73.0269,130.86772
253.9188,-200.20256
-239.19,-39.648
332.01,-8.412
272.085,-155.502
-319.77,66.816
224.6533,-16.58396
-214.2442,-160.10464
284.75,-93.7
-375.2784,90.22272
237.6209,64.85492
-133.3327,-256.33384
160.8948,-202.57376
169.83,-76.296
-246.8655,-99.5076
274.125,-32.95
74.4345,163.6786
-311.8208,-240.54336
242.42,-78.404
-246.7074,-49.13408
251.94,148.672
-294.9687,-278.52504
181.9459,24.66492
-134.64,-148.788
170.4522,204.95736
-337.8359,-223.23128
235.3174,-32.38088
-274.329,-206.0368
285.2566,-45.30792
-306.7293,-18.61656
95.0606,85.42728
187.6375,-29.665
-233.5647,6.35176
285.5762,-130.19144
344.1582,-277.98984
232.2829,-161.73948
-320.6982,88.55856
270.4564,-83.04768
-280.9964,-205.70288
362.95,14.96
-289.85,-65.12
317.5821,-223.59852
135.915,-5.598
-237.405,108.924
223.125,-14.75
40.579,-21.6948
139.23,-155.576
217.005,4.094
149.532,196.5616
-345.185,-86.852
122.7213,242.73444
-205.275,-350.28
199.92,73.596
-339.66,30.228
103.4586,11.84968
30.6,-92.72
247.3398,-160.30776
-182.1499,22.21992
415.14,-109.668
-361.335,-43.432
310.1616,121.30608
-255.7905,-246.3676
-280.007,-38.4944
299.7423,-187.19076
-3.9304,-22.35568
177.7792,-6.33504
250.665,-47.798
236.555,-220.866
-229.9845,-264.5124
161.33,131.904
202.7794,-144.33528
-326.7009,-43.13928
274.5891,-179.50692
160.65,50.22
73.0167,209.37996
-244.0401,-100.76792
263.2773,-145.93276
158.2547,85.59436
-381.6772,-188.15824
230.3653,-6.43836
-289.6494,-29.28048
285.94,-136.128
-350.7304,-6.91568
298.265,-214.918
137.7,139.26
121.4752,-18.27024
199.6463,-55.57556
30.855,295.474
179.6288,-43.05456
-246.84,-135.528
300.0126,-224.01512
-318.75,103
248.2,-72.84
185.0229,250.97252
-282.3632,-54.60944
297.5,-212.5
-378.2738,-237.88096
231.6726,-143.00712
101.15,154.12
-289.068,-137.7456
230.69,-6.828
-190.6924,181.05392
259.335,-132.702
-312.6164,-200.90688
86.2155,23.0414
12.529,-136.0348
189.1386,-122.96632
-195.415,-157.168
285.94,122.372
-293.76,-54.992
193.12,-88.744
-307.5742,-65.94064
232.2761,-66.23132
-386.24,-1.008
254.2452,-178.59424
149.175,-43.01
182.546,-29.0552
149.532,7.5616
174.5968,-48.01616
110.8485,-121.5182
291.72,-141.064
165.7313,-188.37756
-188.7459,-205.50328
152.9388,80.47344
-269.654,-96.2768
250.58,109.304
-366.6033,-16.71736
-364.65,-49.28
222.054,-101.4648
143.82,36.416
-257.6061,107.08488
145.52,-86.624
-190.4,-365.18
269.11,7.068
-97.92,-64.664
264.1086,39.56968
120.7017,130.15796
-290.7765,32.6212
223.0281,-30.13372
-211.0278,126.32224
197.2,-146.64
-265.88,-128.296
273.02,-71.124
49.8015,6.7382
275.655,-253.786
157.76,162.188
119.085,46.098
107.9568,-98.04816
222.53,16.464
-312.12,-6.804
206.193,-28.9316
257.7523,-164.80276
253.3986,14.92168
-272.85,-34.72
185.13,61.344
-311.4026,-201.37792
-222.53,-40.476
340.34,-303.908
151.2524,71.49712
-218.28,-224.876
195.9012,195.41856
-297.0954,-208.82368
220.2724,-160.82688
35.7,128.16
-366.265,29.512
-3.4102,83.72816
-215.8541,22.68328
271.4985,15.2018
-98.4436,-240.24512
238.68,65.084
58.225,286.63
-345.1,-130.92
226.1,54.18
-319.7836,-38.67312
127.2348,122.81824
193.63,-45.356
-375.36,-217.212
240.975,-73.17
-223.2321,-153.91432
-356.32,165.056
293.335,-18.502
-303.45,-124.74
209.61,-61.532
-281.945,-70.444
-277.44,-273.048
18.87,172.856
-50.0344,30.02752
291.6095,-268.9314
51.425,248.79
-307.9941,-0.10472
174.454,-85.8448
111.35,10.88
213.5676,-75.78112
198.645,-178.874
229.7669,-155.72028
3.4391,-70.62692
123.0766,41.30808
103.4586,-25.15032
-231.1422,-147.58624
-322.7008,-150.33936
352.954,-224.0448
-304.3102,64.94816
289.8959,41.62492
176.8,18.84
-336.6765,73.8412
227.579,2.4052
-315.52,45.416
253.3986,-241.07832
-7.6857,276.14856
83.7522,-221.50264
-235.875,-174.3
259.5509,-98.96108
-289.17,63.336
313.055,-276.666
325.108,-0.6296
-322.3625,-83.11
368.0806,-200.19672
-288.6345,-17.0924
388.3089,-155.47068
64.8856,-44.86272
-377.6652,208.63216
225.5101,-105.61212
221.9265,-24.8118
-225.9691,-18.72472
260.015,-80.018
-340,-93.5
293.335,-77.002
-383.0967,154.47736
201.705,275.454
208.335,-71.502
279.99,-191.488
-257.3698,133.89584
245.565,-238.678
173.0039,54.89532
-289.1853,-11.65176
