X,Y
50.15,49.425
353.09,-7.045
3.8148,-50.4074
246.6904,-105.8452
261.443,7.7785
96.8558,87.5721
319.005,11.4975
60.775,139.1125
287.98,45.51
198.9,85.55
317.2047,72.89765
99.2817,129.85915
164.73,-11.865
274.72,97.64
339.66,-65.33
263.4541,128.27295
372.64,-146.32
327.845,-56.9225
413.525,-16.7625
191.25,-49.625
274.04,33.98
307.36,81.32
21.93,25.535
53.4021,-142.20105
299.6539,-189.32695
52.275,105.3625
352.665,-69.3325
173.2079,-62.10395
101.15,-5.575
226.4553,-76.72765
176.035,-132.5175
203.1823,-99.09115
3.9304,-63.9652
160.2318,-16.1159
84.5733,-72.78665
274.1981,35.40095
337.8274,136.0863
294.9687,-83.48435
324.9414,-56.4707
331.3096,37.3452
173.4,-43.7
256.8717,-34.93585
297.9216,-12.9608
350.88,-35.94
219.2099,-161.10495
8.1906,127.4047
89.4999,-65.24995
259.25,91.875
290.0863,-70.04315
323.595,-55.7975
285.94,-157.97
348.33,49.335
270.7845,3.10775
378.165,-125.0825
349.1103,-36.05515
268.4283,-2.71415
77.3636,-135.1818
380.5263,-205.26315
302.0594,-118.5297
236.7216,9.6392
201.2834,-47.1417
217.005,99.9975
383.52,156.24
298.265,-74.1325
388.3089,-100.65445
242.76,226.12
148.6123,-29.30615
234.09,-97.545
283.543,-172.2715
293.76,-191.38
121.9155,76.54225
291.5364,12.7318
263.925,-85.9625
125.97,-163.985
255.629,-125.3145
291.89,-147.445
228.8761,-20.93805
239.9924,-74.9962
112.3564,-31.6782
48.875,147.5625
167.7186,-115.3593
188.8343,18.08285
181.05,-206.025
136.5168,-103.2584
170.646,-150.823
365.9896,25.0052
134.64,-88.32
228.1485,2.42575
211.1655,156.41725
163.54,172.73
258.06,-102.03
247.3228,181.8386
327.743,101.1285
291.7863,-75.39315
319.7836,-174.3918
179.265,-169.6325
320.1627,-9.58135
91.8,-82.9
337.8274,131.5863
284.58,20.21
148.8639,-79.43195
188.4501,187.77495
225.25,213.375
252.195,-21.5975
126.14,76.43
363.0384,53.4808
291.465,48.2675
293.029,60.9855
323.85,-6.425
69.6303,104.68485
251.5677,-140.78385
249.9,-29.45
395.25,67.375
261.2016,-56.1008
417.945,-165.9725
246.4643,-6.73215
175.61,138.195
318.75,25.625
349.2174,-110.6087
208.5985,138.20075
179.4384,131.7808
145.0491,-189.52455
200.43,-75.215
270.3765,-3.68825
223.125,170.4375
102.7905,19.10475
292.332,243.334
232.645,8.6775
217.2498,27.3751
234.26,167.87
373.1228,178.4386
151.3901,109.80495
113.135,101.9325
177.1366,176.4317
291.4157,246.29215
210.732,57.134
269.3412,128.8294
304.0943,36.45285
226.1289,141.43555
67.0633,2.96835
178.6309,-30.31545
244.9581,-95.47905
271.4985,-10.74925
309.2436,-122.1218
193.8476,-104.9238
260.2768,-34.6384
259.5509,-23.77545
276.4642,187.7679
401.625,204.1875
329.375,73.3125
349.0542,-142.0271
158.015,-61.5075
198.645,-147.8225
221,-51.5
37.2589,-109.12945
135.915,-184.4575
258.06,-47.03
138.3171,252.34145
382.075,-52.0375
133.2103,159.39485
203.32,165.34
167.28,88.36
254.745,-45.3725
119.8806,-6.4403
34.935,-79.4675
285.0696,-157.0348
240.6384,-134.8192
280.5,49.25
354.1083,30.44585
228.3134,207.3433
314.2569,127.87155
252.0063,36.49685
285.0696,-140.0348
3.5547,-99.77735
161.1124,47.4438
232.2829,-22.64145
201.365,-148.6825
185.5737,94.21315
131.495,103.7525
208.335,-148.1675
349.146,-53.073
255.7242,-80.3621
229.5,-23.75
101.3727,94.31365
300.0126,39.4937
222.7731,-66.38655
171.9618,50.0191
296.5735,149.71325
272.085,49.4575
198.39,51.305
253.895,-21.9475
361.046,-55.523
340.17,-178.085
179.775,104.1125
120.428,-27.714
189.1386,-35.5693
37.995,171.0025
238.3536,-86.6768
263.67,76.165
297.7737,-112.38685
261.375,-94.1875
197.2,63.9
191.6784,166.1608
262.1944,24.4028
214.625,-36.8125
295.6929,197.15355
250.6905,-85.34525
90.95,76.025
337.246,136.877
217.005,36.4975
225.2143,-212.10715
293.76,-103.88
320.1797,42.91015
96.8898,-57.9449
16.9711,-17.98555
225.165,-133.5825
197.03,40.485
305.66,261.17
259.335,49.8325
149.6,-63.3
287.4054,140.7973
190.1858,54.9071
364.48,-43.74
240.7625,-140.88125
140.335,-8.1675
130.39,18.805
185.6689,-39.33445
221.3638,-65.6819
138.8016,-185.9008
240.72,-45.86
150.7781,-190.88905
237.915,97.0425
191.1735,109.41325
263.8757,191.56215
211.31,117.845
364.1094,-59.0547
334.05,64.475
210.9513,-72.97565
144.84,21.08
188.4501,-131.22505
164.56,-97.28
215.9,239.55
290.6388,76.1806
79.56,-54.28
287.1657,87.91715
114.1329,92.93355
254.1602,-2.0801
221.2992,39.3504
277.2326,-218.6163
249.9,-173.45
275.655,16.1725
231.88,69.56
49.4326,-72.7163
209.185,-163.0925
145.52,172.24
93.6802,-3.8401
106.029,-143.5145
259.93,15.035
270.81,-3.905
225.2262,-38.1131
245.7078,-52.3539
229.2654,21.3673
277.95,-79.975
215.73,50.635
332.3177,318.34115
269.28,-79.14
261.8,-129.4
192.9772,8.5114
303.96,263.52
201.3429,143.32855
385.7028,222.6486
244.9581,-152.97905
55.25,-0.625
334.645,2.1775
3.6703,-32.33515
197.7151,-21.35755
205.1322,206.4339
101.6192,157.6904
325.89,63.555
50.575,128.7125
342.72,147.64
193.8,72.6
355.8882,-8.4441
128.1987,57.40065
202.3,-81.65
337.28,358.86
236.385,26.8075
293.6206,8.1897
372.64,-101.32
298.265,88.3675
419.475,32.7625
217.26,3.87
392.615,-25.3075
282.88,341.06
24.48,32.76
57.732,-141.866
205.1322,-97.0661
62.9,235.05
289.1853,92.90735
142.0554,-53.0277
96.05,47.975
268.8006,-78.9003
163.115,-150.5575
263.9471,-54.47355
3.2079,-49.60395
127.721,31.6395
113.3118,-69.1559
233.4083,125.79585
357.9962,255.0019
312.6164,-60.8082
288.8368,3.5816
299.6403,53.17985
243.1,15.95
351.6399,-1.81995
250.3369,97.83155
388.96,-100.98
219.2099,-136.60495
5.6661,223.16695
97.7109,-30.85545
274.125,133.9375
222.4722,126.2639
247.86,-80.93
293.335,-161.6675
332.0746,98.4627
376.5194,-3.2597
342.8696,-12.9348
318.8724,72.0638
310.1259,-37.06295
91.0894,-131.5447
380.5263,-194.26315
310.335,-77.6675
233.4338,91.7831
231.6658,63.6671
244.375,28.3125
334.56,137.72
293.335,28.3325
304.9137,-77.95685
244.545,270.2275
202.7794,-73.3897
293.76,-42.38
246.4643,-158.23215
302.94,-220.47
116.11,91.945
338.5584,16.2208
238.51,-54.255
130.39,-161.695
313.7265,-71.86325
408.646,-147.323
240.2066,-83.6033
281.3704,-70.1852
129.5723,-46.78615
53.55,91.225
179.6985,-104.84925
207.2164,83.8918
184.875,-204.4375
180.3972,-102.6986
137.7357,-113.36785
398.2828,82.8586
117.3,-21.15
224.1807,56.90965
211.1655,242.41725
120.445,227.2775
271.745,5.1275
175.4655,156.26725
330.2641,197.36795
336.6765,-157.33825
288.8368,-126.4184
195.415,-177.7075
291.057,149.9715
76.84,-42.42
355.4751,196.76245
295.12,77.44
213.7155,-81.85775
257.6061,171.69695
218.875,93.5625
207.23,14.385
128.52,52.24
373.1228,228.4386
316.71,-22.355
388.9294,153.0353
344.25,-0.125
57.7422,41.6289
291.5364,-127.7682
237.405,18.7975
329.375,100.3125
239.4348,-26.2174
387.09,-87.545
320.6217,13.68915
261.6589,290.17055
301.75,-12.375
333.5808,-71.2904
203.1568,280.9216
171.9618,201.5191
180.3972,-201.6986
185.13,-37.565
249.2166,87.8917
282.625,233.1875
94.2837,69.35815
360.5428,209.2286
211.14,56.93
195.1566,197.9217
282.88,82.06
337.8274,392.0863
201.3905,138.80475
93.5,179.25
173.7944,353.6028
291.4157,199.29215
233.5613,83.21935
301.7619,149.61905
336.3875,20.30625
304.4904,168.2548
87.8985,40.05075
178.6309,38.68455
262.0482,-104.0241
231.2765,-28.13825
351.6399,-180.81995
237.2962,-139.6481
323.0221,-87.01105
270.4564,-39.7282
326.3184,101.3408
351.05,149.975
342.55,116.225
360.4986,-110.2493
151.385,9.3075
192.185,-126.5925
235.875,-35.9375
50.1704,-126.0852
129.285,-178.6425
220.915,75.0425
135.8249,347.58755
316.2,178.9
110.1345,170.93275
265.88,428.06
136,269
305.235,44.3825
109.2063,32.89685
37.74,-49.37
310.2228,-137.1114
228.9407,-57.47035
409.53,114.235
274.6146,157.6927
318.7772,185.6114
365.415,184.2925
215.39,-20.195
234.7632,-107.3816
3.5836,-96.7918
190.2793,55.86035
178.8077,27.09615
209.185,-173.5925
220.4679,115.76605
152.49,217.255
158.3346,-87.1673
351.6399,76.18005
297.6462,-123.8231
206.55,82.225
89.3214,140.8393
264.1902,38.9049
255.9129,-91.45645
174.454,208.273
381.6772,365.6614
250.3182,60.3409
247.9875,128.00625
340.17,-88.085
293.9946,53.0027
271.15,-104.575
168.3,211.35
147.6552,-71.3276
183.1342,-32.5671
35.955,224.5225
174.4472,-32.2236
261.8,132.6
335.835,-114.4175
242.25,0.875
229.5,72.75
138.4344,192.7828
350.4329,178.28355
223.125,9.9375
362.2904,116.8548
172.89,-38.945
124.1,160.95
289.068,140.466
205.275,15.3625
228.5021,-204.75105
286.875,36.0625
340.3485,135.32575
97.7109,-74.85545
15.4904,-17.2452
201.1474,-69.5737
185.725,79.1375
359.89,111.555
250.155,54.4225
145.52,-80.76
274.7999,264.10005
232.2761,8.86195
350.88,-21.44
221.5015,-142.25075
149.175,38.4125
168.2031,-47.60155
157.0086,-16.5043
227.5994,7.7003
133.9821,-183.49105
277.44,-64.22
152.0242,-188.0121
163.3683,165.31585
151.5227,195.23865
285.0628,239.4686
228.14,355.43
309.2436,92.3782
364.65,18.175
225.2262,-42.6131
125.46,-35.73
247.2327,-155.11635
186.32,-97.16
183.6,165.7
400.9739,120.01305
107.1,-68.05
238.9554,50.0223
119.8806,165.0597
236.929,6.5355
186.7212,44.1394
250.3369,-185.16845
183.6,-113.3
291.295,-22.6475
269.28,23.86
45.3747,-53.18735
232.645,-171.3225
140.08,174.96
88.1229,51.43855
114.7041,-153.85205
196.35,73.825
284.58,-10.79
168.1266,18.9367
277.0235,-102.01175
283.5651,23.21745
260.1,-59.55
221.85,128.575
264.9246,272.5377
209.44,-49.22
257.04,-149.02
139.5173,35.24135
263.16,213.42
264.8294,132.0853
383.0967,223.95165
279.1383,-156.56915
53.55,28.725
334.645,2.1775
4.046,-55.023
252.1321,-63.56605
297.6428,160.1786
111.146,181.927
321.3,84.35
46.325,130.8375
276.08,273.46
176.8,65.6
386.835,100.0825
136.8738,67.5631
210.97,-77.485
296.48,356.76
231.795,-24.8975
227.2543,93.87285
375.36,-147.68
359.89,28.555
428.4,-24.2
217.26,3.87
374.17,20.915
391.68,309.16
18.36,10.32
61.0997,-143.54985
297.6428,-152.3214
50.15,133.425
331.5051,-58.75255
170.7157,-80.35785
125.8,50.1
213.5676,43.7162
177.65,-126.325
195.5867,-72.79335
3.1501,-28.57505
166.0373,33.48135
98.532,-66.266
339.915,2.5425
368.0806,163.9597
373.1228,-17.5614
322.3625,18.31875
343.4901,72.25495
178.5,16.75
284.3046,54.8477
264.8192,119.5904
280.16,-46.58
269.4874,-179.2437
6.3393,236.33035
105.1008,-29.0504
212.5,115.25
287.9052,56.0474
229.5,-19.25
332.775,-131.8875
348.33,28.835
281.1001,44.44995
375.6439,-134.32195
349.1103,-36.05515
281.4588,58.2706
66.1334,-132.5667
303.2766,-133.6383
293.7838,-91.8919
202.1997,61.40015
271.5427,43.72865
291.295,149.8525
274.72,253.64
352.495,-51.2475
297.0954,-26.5477
226.695,391.6525
152.779,2.6105
309.825,-67.4125
307.5351,-197.76755
332.775,-200.3875
170.6817,102.15915
286.8342,-52.4171
203.32,-65.16
112.71,-146.855
290.4875,-90.24375
434.9161,-192.95805
278.7303,-74.36515
248.268,-70.634
135.915,-23.9575
49.725,147.1375
183.6918,-79.3459
195.5187,2.24065
133.875,-179.4375
123.1089,-101.05445
132.8601,-110.93005
269.11,239.945
132.6,-48.3
285.6816,-26.3408
249.3764,115.8118
165.75,204.625
263.925,-76.4625
175.4655,361.26725
302.532,152.734
289.2924,-31.6462
293.9946,-167.9973
216.41,-163.205
261.9513,-9.47565
70.72,-39.36
267.2366,111.3817
358.36,-29.18
215.1894,-15.0947
200.5524,200.2238
244.375,244.8125
271.745,130.6275
152.32,-17.16
335.3063,224.84685
268.515,103.2425
354.2987,82.85065
255,61
66.2337,117.88315
268.0254,-165.5127
255.255,-21.6275
324.105,122.4475
268.4572,-69.2286
406.725,-23.8625
